title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
Mononoke Hime,A Princesa Mononoke,Mononoke Hime,もののけ姫,1997,SUMMER,MOVIE,1,kitsu_142,164,164,142,7,tt0119698,,[128],36228,completed,1,0,2025-02-15T18:42:59.286000+00:00,
Monster,Monster TV,Monster,モンスター,2004,SPRING,TV,74,mal_19,19,19,10,1539,tt0434706,74599,30981,50250,plantowatch,0,0,2026-08-07T21:10:41.801195+00:00,
Monster,Monster TV,Monster,モンスター,2004,SPRING,TV,74,kitsu_10,19,19,10,1539,tt0434706,74599,30981,,plantowatch,0,0,2026-06-30T11:32:16.325000+00:00,
Monster Farm: Enbanseki no Himitsu,Monster Farmer,Monster Farm: Enbanseki no Himitsu,モンスターファーム,1999,SPRING,TV,48,mal_1469,1469,1469,1315,2908,tt0218775,72858,15130,37611,plantowatch,1,0,2026-07-21T10:00:09+00:00,
Monster Farm: Enbanseki no Himitsu,Monster Farmer,Monster Farm: Enbanseki no Himitsu,モンスターファーム,1999,SPRING,TV,48,kitsu_1315,1469,1469,1315,2908,tt0218775,72858,15130,,watching,1,0,2026-06-30T11:34:00.952000+00:00,
Monster Strike: Deadverse Reloaded,Strike World: Deadverse Reloaded the Anime,Monster Strike: Deadverse Reloaded,モンスターストライク デッドバースリローデッド,2025,FALL,TV,10,mal_62066,62066,196230,50201,19466,tt38572778,465794,300323,2832570,plantowatch,0,0,2026-08-07T21:10:41.801922+00:00,
Monster Strike: Deadverse Reloaded,Strike World: Deadverse Reloaded the Anime,Monster Strike: Deadverse Reloaded,モンスターストライク デッドバースリローデッド,2025,FALL,TV,10,kitsu_50201,62066,196230,50201,19466,tt38572778,465794,300323,,plantowatch,0,0,2026-06-30T12:01:24.552000+00:00,
Moonrise,O Nascer da Lua,Moonrise,ムーンライズ,2025,SPRING,ONA,18,mal_38903,38903,150654,46176,14561,tt20672482,421103,203740,999043,plantowatch,0,0,2026-08-07T21:10:41.801413+00:00,
Moonrise,O Nascer da Lua,Moonrise,ムーンライズ,2025,SPRING,ONA,18,kitsu_46176,38903,150654,46176,14561,tt20672482,421103,203740,,plantowatch,0,0,2026-01-23T11:26:08.202000+00:00,
Mouryou no Hako,Box of the Mouryou,Mouryou no Hako,魍魎の匣,2008,FALL,TV,13,mal_4879,4879,4879,3835,6047,tt2172914,83474,42960,39676,plantowatch,0,0,2026-08-07T21:10:41.801051+00:00,
Mouryou no Hako,Box of the Mouryou,Mouryou no Hako,魍魎の匣,2008,FALL,TV,13,kitsu_3835,4879,4879,3835,6047,tt2172914,83474,42960,,plantowatch,0,0,2026-01-23T11:12:19.127000+00:00,
Mugen no Ryvius,Infinite Ryvius,Mugen no Ryvius,無限のリヴァイアス,1999,FALL,TV,26,mal_593,593,593,548,192,tt0272402,72393,42982,40238,plantowatch,0,0,2026-08-07T21:10:41.801078+00:00,
Mugen no Ryvius,Infinite Ryvius,Mugen no Ryvius,無限のリヴァイアス,1999,FALL,TV,26,kitsu_548,593,593,548,192,tt0272402,72393,42982,,plantowatch,0,0,2026-01-23T11:11:34.322000+00:00,
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Muhyo & Roji's Bureau of Supernatural Investigation,Muhyo to Rouji no Mahouritsu Soudan Jimusho,ムヒョとロージーの魔法律相談事務所,2018,SUMMER,TV,12,mal_37487,37487,101340,41076,13916,tt9286928,347467/1,80853,782273,completed,12,0,2026-07-02T01:15:13+00:00,
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Muhyo & Roji's Bureau of Supernatural Investigation,Muhyo to Rouji no Mahouritsu Soudan Jimusho,ムヒョとロージーの魔法律相談事務所,2018,SUMMER,TV,12,kitsu_41076,37487,101340,41076,13916,tt9286928,347467,80853,,completed,12,0,2026-06-30T12:01:32.341000+00:00,
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,ムヒョとロージーの魔法律相談事務所,2020,SUMMER,TV,12,mal_39948,39948,110028,43295,14953,tt9286928,347467,80853,1111463,completed,12,0,2026-07-02T01:15:15+00:00,
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,ムヒョとロージーの魔法律相談事務所,2020,SUMMER,TV,12,kitsu_43295,39948,110028,43295,14953,tt9286928,347467,80853,,completed,12,0,2026-06-30T12:02:00.455000+00:00,
Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,The Oblivious Saint Can't Contain Her Power: Forget My Sister! Turns Out I Was the Real Saint All Along!,Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,"Mujikaku Seijo wa Kyou mo Muishiki ni Chikara o Tare Nagasu: Imadai no Seijo wa Ane de Hanaku, Imouto no Watashi datta mitai desu (無自覚聖女は今日も無意識に力を垂れ流す 今代の聖女は姉ではなく、妹の私だったみたいです)",2026,SUMMER,TV,12,mal_62080,62080,196219,50048,19485,tt41278636,465988,296436,2838530,watching,6,0,2026-08-07T18:36:39+00:00,
Mujin Wakusei Survive,Survive! - Uninhabited Planet,Mujin Wakusei Survive,無人惑星サヴァイヴ,2003,FALL,TV,52,mal_709,709,709,643,1122,tt1561921,84660,43242,38986,plantowatch,0,0,2026-08-07T21:10:41.801022+00:00,
Mujin Wakusei Survive,Survive! - Uninhabited Planet,Mujin Wakusei Survive,無人惑星サヴァイヴ,2003,FALL,TV,52,kitsu_643,709,709,643,1122,tt1561921,84660,43242,,plantowatch,0,0,2026-01-23T11:11:42.337000+00:00,
Mushishi,Mushi-Shi : The Cure Lies in the Curse,Mushishi,虫师,2005,FALL,TV,26,mal_457,457,457,419,3433,tt0807832,79214,26867,38545,plantowatch,0,0,2026-08-07T21:10:41.800998+00:00,
Mushishi,Mushi-Shi : The Cure Lies in the Curse,Mushishi,虫师,2005,FALL,TV,26,kitsu_419,457,457,419,3433,tt0807832,79214,26867,,plantowatch,0,0,2026-06-30T11:51:21.919000+00:00,
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,"The Hero Who Has No Class. I Don't Need Any Skills, It's Okay. The hero who has no class.",Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,無職の英雄 別にスキルなんか要らなかったんだが,2025,FALL,TV,12,mal_56854,56854,169969,48058,18232,tt32582999,440502,236565,2272656,completed,12,0,2026-08-14T11:45:18.270000+00:00,
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,"The Hero Who Has No Class. I Don't Need Any Skills, It's Okay. The hero who has no class.",Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,無職の英雄 別にスキルなんか要らなかったんだが,2025,FALL,TV,12,kitsu_48058,56854,169969,48058,18232,tt32582999,440502,236565,,watching,12,0,2026-01-24T22:34:14.754000+00:00,
